"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUADULT","TRY","PC_25_64","A","2015",42.888756,
"AUS","EDUADULT","TRY","PC_25_64","A","2016",43.7439,
"AUS","EDUADULT","TRY","PC_25_64","A","2017",45.355675,
"AUS","EDUADULT","TRY","PC_25_64","A","2018",45.727478,
"AUT","EDUADULT","TRY","PC_25_64","A","2015",30.550726,
"AUT","EDUADULT","TRY","PC_25_64","A","2016",31.383963,
"AUT","EDUADULT","TRY","PC_25_64","A","2017",32.39439,
"AUT","EDUADULT","TRY","PC_25_64","A","2018",32.711426,
"BEL","EDUADULT","TRY","PC_25_64","A","2015",36.857422,
"BEL","EDUADULT","TRY","PC_25_64","A","2016",37.503956,
"BEL","EDUADULT","TRY","PC_25_64","A","2017",40.257053,
"BEL","EDUADULT","TRY","PC_25_64","A","2018",40.638546,
"CAN","EDUADULT","TRY","PC_25_64","A","2015",55.17366,
"CAN","EDUADULT","TRY","PC_25_64","A","2016",56.265068,
"CAN","EDUADULT","TRY","PC_25_64","A","2017",56.71452,
"CAN","EDUADULT","TRY","PC_25_64","A","2018",57.888363,
"CZE","EDUADULT","TRY","PC_25_64","A","2015",22.186741,
"CZE","EDUADULT","TRY","PC_25_64","A","2016",22.971544,
"CZE","EDUADULT","TRY","PC_25_64","A","2017",23.927534,
"CZE","EDUADULT","TRY","PC_25_64","A","2018",24.262077,
"DNK","EDUADULT","TRY","PC_25_64","A","2015",37.095581,
"DNK","EDUADULT","TRY","PC_25_64","A","2016",38.169136,
"DNK","EDUADULT","TRY","PC_25_64","A","2017",39.232346,
"DNK","EDUADULT","TRY","PC_25_64","A","2018",38.055264,
"FIN","EDUADULT","TRY","PC_25_64","A","2015",42.742619,
"FIN","EDUADULT","TRY","PC_25_64","A","2016",43.595264,
"FIN","EDUADULT","TRY","PC_25_64","A","2017",44.304253,
"FIN","EDUADULT","TRY","PC_25_64","A","2018",45.188133,
"FRA","EDUADULT","TRY","PC_25_64","A","2015",34.085361,
"FRA","EDUADULT","TRY","PC_25_64","A","2016",34.582485,
"FRA","EDUADULT","TRY","PC_25_64","A","2017",35.213791,
"FRA","EDUADULT","TRY","PC_25_64","A","2018",36.897491,
"DEU","EDUADULT","TRY","PC_25_64","A","2015",27.638235,
"DEU","EDUADULT","TRY","PC_25_64","A","2016",28.291723,
"DEU","EDUADULT","TRY","PC_25_64","A","2017",28.58337,
"DEU","EDUADULT","TRY","PC_25_64","A","2018",29.065134,
"GRC","EDUADULT","TRY","PC_25_64","A","2015",29.057495,
"GRC","EDUADULT","TRY","PC_25_64","A","2016",30.231607,
"GRC","EDUADULT","TRY","PC_25_64","A","2017",31.027514,
"GRC","EDUADULT","TRY","PC_25_64","A","2018",31.739904,
"HUN","EDUADULT","TRY","PC_25_64","A","2015",24.242552,
"HUN","EDUADULT","TRY","PC_25_64","A","2016",23.713329,
"HUN","EDUADULT","TRY","PC_25_64","A","2017",24.054041,
"HUN","EDUADULT","TRY","PC_25_64","A","2018",25.101177,
"ISL","EDUADULT","TRY","PC_25_64","A","2015",38.841152,
"ISL","EDUADULT","TRY","PC_25_64","A","2016",40.475002,
"ISL","EDUADULT","TRY","PC_25_64","A","2017",42.38409,
"ISL","EDUADULT","TRY","PC_25_64","A","2018",43.749649,
"IRL","EDUADULT","TRY","PC_25_64","A","2015",42.806118,
"IRL","EDUADULT","TRY","PC_25_64","A","2017",45.65897,
"IRL","EDUADULT","TRY","PC_25_64","A","2018",46.935135,
"ITA","EDUADULT","TRY","PC_25_64","A","2015",17.546457,
"ITA","EDUADULT","TRY","PC_25_64","A","2016",17.723593,
"ITA","EDUADULT","TRY","PC_25_64","A","2017",18.669672,
"ITA","EDUADULT","TRY","PC_25_64","A","2018",19.323732,
"JPN","EDUADULT","TRY","PC_25_64","A","2015",49.541573,
"JPN","EDUADULT","TRY","PC_25_64","A","2016",50.496956,
"JPN","EDUADULT","TRY","PC_25_64","A","2017",51.440529,
"JPN","EDUADULT","TRY","PC_25_64","A","2018",51.928062,
"KOR","EDUADULT","TRY","PC_25_64","A","2015",45.356678,
"KOR","EDUADULT","TRY","PC_25_64","A","2016",46.643951,
"KOR","EDUADULT","TRY","PC_25_64","A","2017",47.744724,
"KOR","EDUADULT","TRY","PC_25_64","A","2018",49.008511,
"LUX","EDUADULT","TRY","PC_25_64","A","2015",39.794865,
"LUX","EDUADULT","TRY","PC_25_64","A","2016",42.856003,
"LUX","EDUADULT","TRY","PC_25_64","A","2017",40.325737,
"LUX","EDUADULT","TRY","PC_25_64","A","2018",43.886856,
"MEX","EDUADULT","TRY","PC_25_64","A","2015",16.278801,
"MEX","EDUADULT","TRY","PC_25_64","A","2016",16.818605,
"MEX","EDUADULT","TRY","PC_25_64","A","2017",17.418995,
"MEX","EDUADULT","TRY","PC_25_64","A","2018",17.979799,
"NLD","EDUADULT","TRY","PC_25_64","A","2015",35.330765,
"NLD","EDUADULT","TRY","PC_25_64","A","2016",35.999168,
"NLD","EDUADULT","TRY","PC_25_64","A","2017",37.16811,
"NLD","EDUADULT","TRY","PC_25_64","A","2018",38.343895,
"NZL","EDUADULT","TRY","PC_25_64","A","2015",34.040531,
"NZL","EDUADULT","TRY","PC_25_64","A","2016",36.275139,
"NZL","EDUADULT","TRY","PC_25_64","A","2017",37.730431,
"NZL","EDUADULT","TRY","PC_25_64","A","2018",39.292675,
